2	3	x45	37
2	45	-1	37
2	11	x44	37
2	47	-1	37
2	22	x43	37
2	54	-1	37
2	4	x42	37
2	41	-1	37
2	12	x41	37
2	43	-1	37
2	23	x40	37
2	33	-1	37
2	19	x39	37
2	39	-1	37
2	15	x38	37
2	37	-1	37
2	14	x37	37
2	6	-1	37
2	60	x36	37
2	9	-1	37
2	0	x35	37
2	25	-1	37
2	26	x34	37
2	29	-1	37
2	49	x33	37
2	7	-1	37
2	55	x32	37
2	1	-1	37
2	51	x31	37
2	27	-1	37
2	20	x30	37
2	13	-1	37
2	16	x29	37
2	31	-1	37
2	28	x28	37
2	35	-1	37
2	59	x27	37
2	57	-1	37
2	56	x26	37
2	53	-1	37
2	50	x25	37
2	2	-1	37
2	52	x24	37
2	17	-1	37
2	58	x23	37
2	21	-1	37
2	46	x22	37
2	8	-1	37
2	40	x21	37
2	10	-1	37
2	48	x20	37
2	5	-1	37
2	44	x19	37
2	24	-1	37
2	42	x18	37
2	18	-1	37
2	36	x17	37
2	30	-1	37
2	34	x16	37
2	32	-1	37
2	38	x15	37
1	5	-1	37
1	26	x14	37
1	42	-1	37
1	28	x13	37
1	9	-1	37
1	20	x12	37
1	58	-1	37
1	24	x11	37
1	13	-1	37
1	22	x10	37
1	7	-1	37
1	2	x9	37
1	3	-1	37
1	48	x8	37
1	32	-1	37
1	0	x7	37
1	34	-1	37
1	36	x6	37
1	46	-1	37
1	16	x5	37
1	44	-1	37
1	18	x4	37
1	56	-1	37
1	38	x3	37
1	43	-1	37
1	30	x2	37
1	59	-1	37
1	14	x1 	37
1	54	-1	37
1	-1	-1	37
1	53	-1	37
1	-1	-1	37
1	17	-1	37
1	-1	-1	37
1	37	-1	37
1	-1	-1	37
1	11	-1	37
1	-1	-1	37
1	51	-1	37
1	-1	-1	37
1	27	-1	37
1	-1	-1	37
1	60	-1	37
1	-1	-1	37
1	25	-1	37
1	-1	-1	37
1	55	-1	37
1	-1	-1	37
1	39	-1	37
1	-1	-1	37
1	19	-1	37
1	-1	-1	37
1	15	-1	37
1	-1	-1	37
1	49	-1	37
1	-1	-1	37
1	31	-1	37
1	-1	-1	37
1	29	-1	37
1	-1	-1	37
1	1	-1	37
1	-1	-1	37
1	35	-1	37
1	-1	-1	37
1	41	-1	37
1	-1	-1	37
1	33	-1	37
1	-1	-1	37
1	6	-1	37
1	-1	-1	37
1	12	-1	37
1	-1	-1	37
1	4	-1	37
1	40	-1	37
1	23	-1	37
1	52	-1	37
1	10	-1	37
1	50	-1	37
1	47	-1	37
1	45	-1	37
1	21	-1	37
1	57	-1	37
1	8	-1	37
2	3	x46	23
2	45	-1	23
2	11	x47	23
2	47	-1	23
2	22	x48	23
2	54	-1	23
2	4	x49	23
2	41	-1	23
2	12	x50	23
2	43	-1	23
2	23	x51	23
2	33	-1	23
2	19	x52	23
2	39	-1	23
2	15	x53	23
2	37	-1	23
2	14	x54	23
2	6	-1	23
2	60	x55	23
2	9	-1	23
2	0	x56	23
2	25	-1	23
2	26	x57	23
2	29	-1	23
2	49	x58	23
2	7	-1	23
2	55	x59	23
2	1	-1	23
2	51	x60	23
2	27	-1	23
2	20	x61	23
2	13	-1	23
2	16	x62	23
2	31	-1	23
2	28	x63	23
2	35	-1	23
2	59	x64	23
2	57	-1	23
2	56	x65	23
2	53	-1	23
2	50	x66	23
2	2	-1	23
2	52	x67	23
2	17	-1	23
2	58	x68	23
2	21	-1	23
2	46	x69	23
2	8	-1	23
2	40	x70	23
2	10	-1	23
2	48	x71	23
2	5	-1	23
2	44	x72	23
2	24	-1	23
2	42	x73	23
2	18	-1	23
2	36	x74	23
2	30	-1	23
2	34	x75	23
2	32	-1	23
2	38	x76	23
1	5	-1	23
1	26	x77	23
1	42	-1	23
1	28	x78	23
1	9	-1	23
1	20	x79	23
1	58	-1	23
1	24	x80	23
1	13	-1	23
1	22	x81	23
1	7	-1	23
1	2	x82	23
1	3	-1	23
1	48	x83	23
1	32	-1	23
1	0	x84	23
1	34	-1	23
1	36	x85	23
1	46	-1	23
1	16	x86	23
1	44	-1	23
1	18	x87	23
1	56	-1	23
1	38	x88	23
1	43	-1	23
1	30	x89	23
1	59	-1	23
1	14	x90	23
1	54	-1	23
1	-1	-1	23
1	53	-1	23
1	-1	-1	23
1	17	-1	23
1	-1	-1	23
1	37	-1	23
1	-1	-1	23
1	11	-1	23
1	-1	-1	23
1	51	-1	23
1	-1	-1	23
1	27	-1	23
1	-1	-1	23
1	60	-1	23
1	-1	-1	23
1	25	-1	23
1	-1	-1	23
1	55	-1	23
1	-1	-1	23
1	39	-1	23
1	-1	-1	23
1	19	-1	23
1	-1	-1	23
1	15	-1	23
1	-1	-1	23
1	49	-1	23
1	-1	-1	23
1	31	-1	23
1	-1	-1	23
1	29	-1	23
1	-1	-1	23
1	1	-1	23
1	-1	-1	23
1	35	-1	23
1	-1	-1	23
1	41	-1	23
1	-1	-1	23
1	33	-1	23
1	-1	-1	23
1	6	-1	23
1	-1	-1	23
1	12	-1	23
1	-1	-1	23
1	4	-1	23
1	40	-1	23
1	23	-1	23
1	52	-1	23
1	10	-1	23
1	50	-1	23
1	47	-1	23
1	45	-1	23
1	21	-1	23
1	57	-1	23
1	8	-1	23
2	3	x135	38
2	45	-1	38
2	11	x134	38
2	47	-1	38
2	22	x133	38
2	54	-1	38
2	4	x132	38
2	41	-1	38
2	12	x131	38
2	43	-1	38
2	23	x130	38
2	33	-1	38
2	19	x129	38
2	39	-1	38
2	15	x128	38
2	37	-1	38
2	14	x127	38
2	6	-1	38
2	60	x126	38
2	9	-1	38
2	0	x125	38
2	25	-1	38
2	26	x124	38
2	29	-1	38
2	49	x123	38
2	7	-1	38
2	55	x122	38
2	1	-1	38
2	51	x121	38
2	27	-1	38
